TAUNT1                 ="Let's GO!"
TAUNT2                 ="Making the mother of all omelettes here, Jack. Can't fret over every egg"
TAUNT3                 ="The weak will be purged. And the strongest will thrive!"
TAUNT4                 ="America has wanted this war for years"
ANGRY_SIEGE_LOST       ="Fuck american pride. FUCK THE MEDIA!"
ANGRY_CASTLE_DAMAGED   ="Ahahahaha. That one hurt!"
DEFEAT                 ="Deep inside.... we're kindred spirits.... You... and I.."
NERV_PRE_SIEGE         ="Nice knife!"
NERV_WEAK              ="Don't fuck with THIS Senator!"
VICTORY_GOOD           ="Nanomachines son. They harden in response to physical trauma!"
VICTORY_HARASS         ="Alright. I think we're about done here."
KILL_PLAYER            ="Time to end this!"
KILL_NPC               ="When I'm finished with him... you're next!"
REQUEST_GOODS          ="We just need something to jumpstart the economy out of this funk"
THANK_GOODS            ="The patriots. They knew war was good for the economy."
DIE_ALLY               ="Well done Jack.... *dies*"
CONGRATS_ON_KILL       ="Not bad. Not bad."
BOAST_OF_KILL          ="Man to man I can't be beat."
ALLY_NEED_HELP         ="COME ON!"
ABOUT2SIEGE            ="Signal the advance! ...and follow me boys!"
CANT_ATTACK            ="Idiot!"
WONT_ATTACK            ="I don't have time for this."
CANT_HELP              ="Idiot!"
WONT_HELP              ="I don't have time for this"
NOT_SENDING_GOODS      ="Well, starting to see things my way yet?"
SENT_GOODS             ="I like you, Jack. So I'm giving you another shot."
TEAM_WINNING           ="AHAHAHA! This is the greatest fight OF MY LIFE!"
TEAM_LOSING            ="You little fuck..."
WILL_SEND_TROOPS       ="He'll be lucky to carry his box of shit out of the building."
WILL_ATTACK_ENEMY      ="Let's not forget to enjoy this, Hmm?"
